date,tropospheric_HCHO_column_number_density,airshed
2019-01-15,0.00018900686651323885,delhi
2019-01-30,0.00018714369607899926,delhi
2019-02-15,0.0002214745914078867,delhi
2019-03-02,0.00018961647377797503,delhi
2019-03-15,0.00018353057178950274,delhi
2019-03-30,0.0001768665364859975,delhi
2019-04-15,0.0002339132909926514,delhi
2019-04-30,0.00023456279818952653,delhi
2019-05-15,0.0002683972375469276,delhi
2019-05-30,0.0002597172014996853,delhi
2019-06-15,0.00030499290104084016,delhi
2019-06-30,0.0002788049640606265,delhi
2019-07-15,0.00023593650893911038,delhi
2019-07-30,0.00019559174781656898,delhi
2019-08-15,0.00019213126241587737,delhi
2019-08-30,0.00017543063090425293,delhi
2019-09-15,0.00021730669392991435,delhi
2019-09-30,0.00019747401029828802,delhi
2019-10-15,0.00022520067926888514,delhi
2019-10-30,0.00027142759851857463,delhi
2019-11-15,0.0002558959211485456,delhi
2019-11-30,0.00026407928294649486,delhi
2019-12-15,0.0002460381238031352,delhi
2019-12-30,0.00021034379429512825,delhi
2020-01-15,0.00014315872345513692,delhi
2020-01-30,0.00015261174215302475,delhi
2020-02-15,0.00017812092990966648,delhi
2020-03-01,0.00020322003834680457,delhi
2020-03-15,0.00018673798072075035,delhi
2020-03-30,0.00018125014917526254,delhi
2020-04-15,0.00016140005178665707,delhi
2020-04-30,0.00020130207657135447,delhi
2020-05-15,0.000243324578742646,delhi
2020-05-30,0.00028642264956304196,delhi
2020-06-15,0.00029940942915888925,delhi
2020-06-30,0.00026251452246849955,delhi
2020-07-15,0.00027622025309880616,delhi
2020-07-30,0.00019982010983946754,delhi
2020-08-15,0.00022363115296268257,delhi
2020-08-30,0.00013366571936545988,delhi
2020-09-15,0.00021946689049169295,delhi
2020-09-30,0.00023473747070512838,delhi
2020-10-15,0.0002914779021280023,delhi
2020-10-30,0.0002589377700700043,delhi
2020-11-15,0.00024900363988711094,delhi
2020-11-30,0.00020208632332381003,delhi
2020-12-15,0.0002452853314165396,delhi
2020-12-30,0.00018334471306786173,delhi
2021-01-15,0.00015605757952734235,delhi
2021-01-30,0.00016495499461400922,delhi
2021-02-15,0.00022002703507007513,delhi
2021-03-02,0.00018692951526918833,delhi
2021-03-15,0.00020680950211824587,delhi
2021-03-30,0.00017030106051739473,delhi
2021-04-15,0.00021243011070703723,delhi
2021-04-30,0.00024837880804884246,delhi
2021-05-15,0.0002930214013232632,delhi
2021-05-30,0.0002510755017734096,delhi
2021-06-15,0.0002954808240100733,delhi
2021-06-30,0.0002888667179742928,delhi
2021-07-15,0.00022913146111753932,delhi
2021-07-30,0.00020804502271192898,delhi
2021-08-15,0.00016485048844001193,delhi
2021-08-30,0.0002145520141474555,delhi
2021-09-15,0.00017855566399826482,delhi
2021-09-30,0.00016269778009135304,delhi
2021-10-15,0.00024804378352517154,delhi
2021-10-30,0.000250441338845827,delhi
2021-11-15,0.0003005288057090771,delhi
2021-11-30,0.00028184047838768905,delhi
2021-12-15,0.00019261790422512646,delhi
2021-12-30,0.00020085839335775955,delhi
2022-01-15,0.00015484975187986534,delhi
2022-01-30,0.00020486073476814454,delhi
2022-02-15,0.00015728039767005128,delhi
2022-03-02,0.00018834763725826564,delhi
2022-03-15,0.00021263782639639278,delhi
2022-03-30,0.00019070118426140002,delhi
2022-04-15,0.00022456966010119008,delhi
2022-04-30,0.0002336010165239755,delhi
2022-05-15,0.00032875041918340033,delhi
2022-05-30,0.0002766073101039493,delhi
2022-06-15,0.00023350562215387338,delhi
2022-06-30,0.00027865765906000386,delhi
