date,avg_ndti,avg_ndvi,avg_Precipitation (mm/day),avg_aod,avg_NO2_column_number_density,avg_retail_and_recreation_percent_change_from_baseline,avg_ndti_change_from_baseline,tmmx,avg_rad
2017-01-01,,,,,,,,212.0517311459276,25.657536762084533
2017-02-01,-0.07727447681278968,0.19319003838263765,1.7039937930812519,967.7113842468368,,,-2.7163102355149,252.77879662124084,32.75308177235104
2017-03-01,-0.0940556440361187,0.29502120114730496,0.06881131696822453,510.89845099943705,,,18.410120293356524,306.7696049812767,30.061633316282173
2017-04-01,-0.09256353605628792,0.30373229139049673,0.42504585544849116,524.4901244630832,,,16.531650508868186,381.2510972950056,27.236079431433875
2017-05-01,-0.06142456659268389,0.1602732592722699,0.4800877615188559,590.8263717746968,,,-22.670346965951968,403.3882562400962,23.60255981906514
2017-06-01,-0.0509253163235993,0.0663540823642828,0.7859089977620545,693.9589057026136,,,-35.88824048093284,385.260348150161,23.338047868657892
2017-07-01,,,5.6867228482772285,857.4891473297438,,,,355.5578324533697,21.690533459477336
2017-08-01,-0.0980451875685202,0.25554232334937715,4.811283831214232,739.2266890681738,,,23.432703833434505,345.35824615114325,23.44428791956304
2017-09-01,-0.05475250276055825,0.23196224439107666,3.727249775089384,1447.1294309753164,,,-31.070054278184756,347.04913989527495,24.551687354489584
2017-10-01,-0.09088199194032379,0.2905567599152227,3.015648697914245,686.168416152292,,,14.414692583691064,341.80621578206814,30.79106029927748
2017-11-01,-0.0791409316930212,0.23476952711006482,0.0015344350568709806,951.7577700063238,,,-0.3665613272466537,277.8011944344206,28.316452346094728
2017-12-01,-0.03480708802284683,0.07583453604308246,0.0150963028271993,1729.81570428262,,,-56.180072742216055,232.49921521022117,25.831714306522453
2018-01-01,-0.06729987248744987,0.14958349805396545,0.05400401049841855,874.8523520527009,,,-15.27370761603321,229.81683556510225,27.97886697678416
2018-02-01,-0.09871735277193054,0.27022352967525864,0.1803335973198691,880.5628046392079,,,24.27891740635166,264.6092995087829,30.065196873806148
2018-03-01,-0.08820343987729819,0.2997611654811149,0.047959555755206926,653.7476036447387,,,11.04256457111713,329.1692498137934,28.349927245851685
2018-04-01,-0.08197586557174649,0.26397352274492003,0.01646129540700536,480.2306251156611,,,3.2024415225415623,379.5661862409899,26.89688851402232
2018-05-01,-0.042559070954633564,0.13257946308581967,0.5588175939056479,617.3033271365705,,,-46.42081543371874,409.38847833867055,22.77238140370215
2018-06-01,-0.03916335231011941,0.11338162686538795,0.4352639720253196,904.7232020804812,,,-50.69581091431857,395.6875671055006,23.168230972718916
2018-07-01,-0.012822836724986941,0.09896952455208567,2.164137251298568,1246.6179390909376,,,-83.8568577710796,351.9697229178067,22.21899435464432
2018-08-01,-0.06416490052318335,0.20566978855709553,8.297788970893428,1315.0834322408737,0.0001552561203016538,,-19.220439481082668,342.45020046494585,22.75439816333545
2018-09-01,-0.10629951369252541,0.2370175932048471,4.155480999371878,1147.6686213392493,0.00012373227954595793,,33.82437951967741,336.9494896094151,23.198476157988416
2018-10-01,-0.07498050635878586,0.3429758764993428,6.500713618456697,577.4636814709387,0.0001329659404529991,,-5.604274272034457,329.40290797273803,25.384137135339213
2018-11-01,-0.07127315724652165,0.2471294151973219,0.22843130077085189,837.068516752167,0.00021306921386906338,,-10.271592845538644,290.4846316187049,30.410598840683505
2018-12-01,-0.07412845257840343,0.174153428054765,0.3878224366417271,1206.3312501081866,0.00022496584849737632,,-6.676956211172006,224.3141547675222,27.260696637683854
2019-01-01,-0.07764498366421625,0.18870339929632957,0.023045965888535816,933.2918996487955,0.0002481627268537917,,-2.2498654910603695,206.02095828312412,26.45758632925877
2019-02-01,-0.07971246619931563,0.19332771078238556,0.924191111696869,904.8972010662875,0.00025931666947063306,,0.35296454848005965,231.22068292806367,27.052835484231867
2019-03-01,-0.08939742802347739,0.27186660315494626,0.9196008663067394,951.6821909467646,0.000199526155449968,,12.545720298418601,287.1711442767596,29.30567128758677
2019-04-01,-0.10351601776980869,0.3105137941437471,0.44586278511691957,450.61951779565385,0.0001351629921826522,,30.32013381042062,371.3075569029462,27.48129055111449
2019-05-01,-0.06332625474057219,0.17364358851300987,0.6418176268935591,548.4759620627185,0.0001601490385160634,,-20.276241597161643,398.1206292824882,24.505110510472225
2019-06-01,-0.06109913588647563,0.164963387412156,0.863684759587012,636.720255804091,0.00015235929715650117,,-23.08004368818668,401.1527694872525,24.01639222871398
2019-07-01,-0.03734033496412421,0.1496812181752988,0.49541962335224526,806.0524968846796,0.00015878211466572694,,-52.99087470818588,358.6471496748177,23.657024745869965
2019-08-01,-0.05366512877784487,0.16041496981112577,6.040658429394665,1995.6363188004616,0.00014591999669020828,,-32.438989501758506,346.6124880080769,20.916962110080977
2019-09-01,-0.1076833747156436,0.29087690756876483,4.739511550374089,888.092715127471,0.00012631564670135084,,35.566573216780654,347.646812769648,23.660465156026625
2019-10-01,-0.09242872331070047,0.2635351649328209,1.9092817845133443,1437.0057055055518,0.00014511319881130264,,16.361929769770835,335.622066333002,29.091993560927573
2019-11-01,-0.08662642157249191,0.2030276096913064,1.0620251247403962,1265.7588773166865,0.0001528970652601545,,9.057198045901185,298.9315168751441,24.248874306945694
2019-12-01,-0.05533915073083995,0.11196067226986843,0.5734233618971,1837.4674055861017,0.00018264593173346265,,-30.331501505060015,207.5501400414131,23.10033930745966
2020-01-01,-0.04523890851158428,0.12095916656044872,0.8477442448264106,1411.5115655553136,0.0002554496873383667,,-43.04706906541644,200.79883848943223,25.666700588395777
