date,ndti,ndvi,tmmx,Precipitation (mm/day),aod,NO2_column_number_density,avg_rad,retail_and_recreation_percent_change_from_baseline
2017-01-01,,,212.0517311459276,0.0,1410.4802097439324,,25.657536762084533,
2017-01-02,,,,0.0,1058.5175958308284,,,
2017-01-03,,,,0.0,820.8408936644265,,,
2017-01-04,,,,0.0,787.3543474475357,,,
2017-01-05,,,,0.0,895.224578816041,,,
2017-01-06,,,,0.3712756633758545,1085.1821761352799,,,
2017-01-07,,,,0.099408358335495,,,,
2017-01-08,,,,0.0,1459.3467077105797,,,
2017-01-09,,,,0.0,911.5641140223256,,,
2017-01-10,,,,0.0,364.0242940670439,,,
2017-01-11,,,,0.0,703.8992981238906,,,
2017-01-12,,,,0.0,953.0372871796021,,,
2017-01-13,,,,0.0,754.0170053954234,,,
2017-01-14,,,,1.3083455562591553,795.7522997132309,,,
2017-01-15,,,,0.0191800221800804,607.2715161287281,,,
2017-01-16,,,,0.0,1633.33319531928,,,
2017-01-17,,,,0.0,1174.9652359371753,,,
2017-01-18,,,,0.0,729.019958891191,,,
2017-01-19,,,,0.0,446.7268046901555,,,
2017-01-20,-0.1074895175763161,0.2570118303320077,,0.0078700520098209,374.4414840814869,,,
2017-01-21,,,,0.2005272507667541,1401.0800082043515,,,
2017-01-22,,,,0.0076900166459381,1443.919794058693,,,
2017-01-23,,,,0.0,1084.571915499317,,,
2017-01-24,,,,0.0427605994045734,999.9766915086296,,,
2017-01-25,,,,3.932980537414551,,,,
2017-01-26,,,,46.56037902832031,,,,
2017-01-27,,,,0.2204160094261169,,,,
2017-01-28,,,,0.0460703484714031,975.9721372429843,,,
2017-01-29,,,,0.0069041429087519,,,,
2017-01-30,-0.04705943604926325,0.1293682464332676,,0.0,1234.8041257410982,,,
2017-01-31,,,,0.0,1055.1723152645238,,,
2017-02-01,,,252.77879662124084,0.0,469.0874214531792,,32.75308177235104,
2017-02-02,,,,0.0,515.1796666624664,,,
2017-02-03,,,,0.0801541730761528,625.1654225885512,,,
2017-02-04,,,,0.0138874510303139,,,,
2017-02-05,,,,0.0011757246684283,,,,
2017-02-06,,,,0.0009575244039297,1317.9472396130673,,,
2017-02-07,,,,0.0506304949522018,313.20666700976096,,,
2017-02-08,,,,0.0005977439577691,233.9559750496098,,,
2017-02-09,-0.0940556440361187,0.29502120114730496,,0.0,727.023554808747,,,
2017-02-10,,,,0.0,421.6986627765931,,,
2017-02-11,,,,0.0,262.78970225768734,,,
