date,Precipitation (mm/day)
2017-07-18,0.7816311120986938
2017-07-19,4.470020771026611
2017-07-20,25.166425704956055
2017-07-21,0.027344146743416786
2017-07-22,5.713107109069824
2017-07-23,3.2628602981567383
2017-07-24,1.2578065395355225
2017-07-25,4.747379302978516
2017-07-26,0.4531934857368469
2017-07-27,0.14540430903434753
2017-07-28,4.608054161071777
2017-07-29,0.42817455530166626
2017-07-30,7.202971935272217
2017-07-31,14.783205032348633
2017-08-01,1.4843814373016357
2017-08-02,0.7203883528709412
2017-08-03,0.024670947343111038
2017-08-04,0.9520770311355591
2017-08-05,0.26254895329475403
2017-08-06,1.357594609260559
2017-08-07,16.13338851928711
2017-08-08,4.850255012512207
2017-08-09,11.97551441192627
2017-08-10,1.1257297992706299
2017-08-11,0.8415122628211975
2017-08-12,0.025483230128884315
2017-08-13,0.05571501702070236
2017-08-14,0.1311311423778534
2017-08-15,0.13491031527519226
2017-08-16,0.005408949218690395
2017-08-17,0.002567409770563245
2017-08-18,0.1715744584798813
2017-08-19,8.538535118103027
2017-08-20,0.10931646823883057
2017-08-21,0.5908938646316528
2017-08-22,13.635810852050781
2017-08-23,14.70031452178955
2017-08-24,0.1332167237997055
2017-08-25,6.81459903717041
2017-08-26,0.579853892326355
2017-08-27,1.952054500579834
2017-08-28,0.5837792754173279
2017-08-29,0.877232551574707
2017-08-30,6.204925537109375
2017-08-31,20.569358825683594
2017-09-01,4.183889865875244
2017-09-02,0.8146615028381348
2017-09-03,0.007517672143876553
2017-09-04,0.05436285585165024
2017-09-05,0.0
2017-09-06,2.314487934112549
2017-09-07,0.7205699682235718
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,1.79056715965271
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.007721559144556522
2017-09-15,0.27526286244392395
2017-09-16,2.0696487426757812
2017-09-17,1.6986099481582642
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0012177110183984041
2017-09-22,72.93519592285156
2017-09-23,3.595747232437134
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.04756748676300049
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.452889084815979
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,0.0
2017-12-03,0.04326271265745163
2017-12-04,0.2454667091369629
2017-12-05,0.03080994263291359
2017-12-06,0.024635115638375282
2017-12-07,0.006387723609805107
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,1.258147954940796
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0007082776282913983
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0022829072549939156
2017-12-19,0.024491865187883377
2017-12-20,0.03183072805404663
2017-12-21,0.005399989429861307
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0007003992795944214
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.029204687103629112
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.010220834985375404
2018-01-23,5.550449371337891
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.00046662348904646933
2018-02-01,0.006149620283395052
2018-02-02,0.0008267861558124423
2018-02-03,0.0
2018-02-04,7.731969526503235e-05
2018-02-05,0.6547442674636841
2018-02-06,0.031228087842464447
2018-02-07,0.0
2018-02-08,1.4540338270307984e-05
2018-02-09,0.0
2018-02-10,0.00019544106908142567
2018-02-11,0.33120182156562805
2018-02-12,0.17214570939540863
2018-02-13,0.0028558392077684402
2018-02-14,0.002938583493232727
2018-02-15,0.003913255408406258
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0005228591617196798
2018-02-20,0.0018772919429466128
2018-02-21,3.668724457384087e-05
2018-02-22,0.013546083122491837
2018-02-23,0.029979674145579338
2018-02-24,0.08006712794303894
2018-02-25,0.0
2018-02-26,0.005306651350110769
2018-02-27,0.0002703146601561457
2018-02-28,0.004969599656760693
2018-03-01,0.06204359605908394
2018-03-02,0.016452321782708168
2018-03-03,0.03459719568490982
2018-03-04,0.1522369533777237
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.1625908613204956
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,4.1408489778405055e-05
2018-03-20,0.0713227391242981
2018-03-21,0.011015081778168678
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,6.0799560546875
2018-04-07,0.009479416534304619
2018-04-08,0.005205134861171246
2018-04-09,3.7191050052642822
2018-04-10,0.16177773475646973
2018-04-11,5.0630927085876465
